id,Preferred Name,Industry,Job Title,Job Tags,Job Tags Broad,Job Description,STEEP Change 1,STEEP Change 2,STEEP Change 3,STEEP Combined,STEEP Reason 1,STEEP Reason 2,STEEP Reason 3,Combined Signals,Archetype,Future - Litany,Future - Job Title,Future - Systems,Future - Metaphor,Feedback,How got to know,tags
6245971cc41eb53849419b14,Munz,Design,Inventor,design,Arts / Design / Creative,I solve business problems with design,Environmental,Technological,Economic,"Environmental,Technological,Economic",Global warming,Web3,Rising inequality,"global warming,web3 and beyond,inequality",Transformation,"The person is working in front of a screen, but without a keyboard",Inventor,Technology and AI recognition software has gotten so advanced that people no longer need to type to work,Rollercoaster of emotions,,,
621e1e59ab4080579f291975,Cas,Education,Product designer,"education,design",Education / Development,"I design for an ed tech company, bridging students to their desired universities.",Technological,Environmental,Political,"Technological,Environmental,Political","Blockchain technology, VR, AR, technology that can simply replace humans’ jobs etc","Climate change (and its societal impact),  food security, clean water access","Powerhouses’ statuses seems to be changing, the Ukraine-Russia war, dissent in various countries around the world","blockchain,virtual reality,augmented reality,automation,climate change,food security,access to clean water,war,shifting global powers,polarised views",Transformation,"This person is travelling to another part of the world where they face the effects of the above changes. They do not have clean water access and food and clean air, and the disparity between the countries’ economic status has caused its civilians to bear the forefront of its effects. The person and her company are trying to help the people, but not volunteering like they do in humanitarian aid, but more of finding an effective solution that could tide them through the tough times.",Bridger - bridging the people who are lacking behind to the better parts of the world,The disparity in the world has become worse than it is now. And humans realise that it takes everyone’s effort to make this world liveable again and everyone is now playing a part. I assume the funding is given by the big players that has gotten ahead in the race. They realise they need everyone in order to maintain their hold of the top positions.,Ecosystem,,From the ux design group sg,
621dbd4f9d71bc717d685631,Edward,Social Services,Ops Supervisor,social service,Social Service,Help people with disabilities be more job-ready,Social,Environmental,Economic,"Social,Environmental,Economic","Low birth rate, shifting attitudes towards procreation and family, unfettered liberalisation, deepening schism between far left and far right ideologies","Climate change, pollution, over reliance on precious metals and natural resources in a bid to fuel the insatiable need for newer/better tech, lack of care & concern for flora and fauna.","Shifting economic powers, changes in attitudes towards paper qualifications, disruptive tech practices, NFTs and cryptocurrencies","decreased birthrate,liberalisation,polarised views,climate change,pollution,depleting resources,loss of biodiversity,shifting economic powers,NFTs,cryptocurrency,attitudes toward education",Transformation,Hard to say.. it seems like this person is in a sterile environment with only 2 or 3 people around. The clients he's working with are disabled but very capable. It makes me wonder what has happened to the PWDs who are not as capable or lower-functuoning,Resource manager,"Everyone is judged in terms of their level of contribution to society & the economy. Those who aren't able to keep up or pull their weight are not welcome in such a world. It's a tough but necessary and calculated reality. As such, some others are required to oversee operational aspects to ensure productivity and efficiency.",You are what you give,,Through Yen Kai's FB post,
6243e50c2dbb9918025ae840,M,Design,UX researcher,design,Arts / Design / Creative,I speak with users to help companies make user-centric decisions and build better products.,Technological,Environmental,Political,"Technological,Environmental,Political","Blockchain, converging of VR and AR","Climate change, food and water safety",Competition of world powers and the different ideologies of politicians as they navigate changes brought about by technology,"blockchain,augmented reality,virtual reality,climate change,food security,access to clean water,shifting global powers,shifting political powers",Transformation,"This person is currently on a work assignment, observing users in their natural environment outfield. She is seeing people going about their daily lives with all of them interacting with tech products in one way or another. It’s a vibrant and stable environment where society have found a way to live in harmony with tech without users being exploited",UX researcher,Society have found a way to live in harmony with tech without users being exploited. It has been leveraged as a tool to enhance the well-being and survival of humanity,The world is a treasure trove to explore,,LinkedIn,
621ec05837900d62331e7bbe,Steph,Market research,Senior associate,research,Management / Consulting,Understanding consumer behavior,Political,Technological,Economic,"Political,Technological,Economic","War in Ukraine, online as a medium for political agenda","Web3.0, higher regulations around Web 2.0","Inflation, great resignation","war,web3 and beyond,inflation,great resignation",Transformation,He regulates/moderates peoples behavior (akin to law enforcement) in the metaverse,Behavior moderator,"Meta verse has become a main channel or Avenue where people live their lives, but since humans find it easier to be bold behind their avatars - regulations on behavior need to be moderated",Possibilities are endless,,Design sg channel,
6220aa06415f3d624a604c2a,SL,Environmental Sustainability,Sustainability Engagement Consultant,sustainability,Environment,run my own business supporting others in their environmental sustainability engagement and journeys,Technological,Environmental,Economic,"Technological,Environmental,Economic","Artificial Intelligence, Virtual Reality",Rising Global temperature and sea level,"Economic imbalance among countries, groups of society and organisations","artificial intelligence,virtual reality,rising sea levels,rising temperature,shifting economic powers",Transformation,"I’m leveraging on voice activated commands to run some of the work, and working with a virtual personal buddy. It is like my mobile phone but instead of a physical device, it will be virtually connected to me.

I’m doing work on sustainability in disaster recovery and management. Sea level rise results in natural disaster happening more regularly and instead of mitigating, my role is in assimilating people and supporting them when disaster happens. This does not mean that the world is in complete catastrophe but more like when more frequent localised disaster happening.",Sustainable Disaster Recovery Management Consultant,"Sea level rise results in natural disaster happening more regularly and instead of mitigating, my role is in assimilating people and supporting them when disaster happens. This does not mean that the world is in complete catastrophe but more like when more frequent localised disaster happening.",Time waits for no man,,Studio Dojo,
624589edf825cb29f23f77a0,Jo,IoT,UX designer,"design,IoT",Arts / Design / Creative,Design ui,Technological,Economic,Environmental,"Technological,Economic,Environmental",Metaverse,The way we do business,Global warming,"metaverse,global warming,new types of businesses",Transformation,Designing in metaverse collaborative,Ux designer,People are still obsessed about ux,Life is vague,,,
62457b6c0fa4945b495b55d3,Ziff,Innovation/Design,"Senior Inventor(Consultant la, basically)","innovation,design",Arts / Design / Creative,Help organizations prototype potential products/services based on assessments of macro shifts in the world as well as training employees of said orgs in behavioral experimentation.,Technological,Environmental,Social,"Technological,Environmental,Social","The law of accelerating returns, AI, Quantum Computing, God knows what Web 4/5/6/n has in store for us.",Devastating impacts of global warming crisis.,"Ageing, discrimination, globalization/immigration, impact of work from AI","artificial intelligence,quantum computing,web3 and beyond,global warming,ageing population,discrimination,globalisation,3d printed food,new habits of working",Transformation,Life Designer,Life Designer: Someone that curates software and environments that are aligned with a client's motivations.,"Sorry i dont have the cognitive bandwidth for this but curious to see how this ends so excuse the lazy thinking. As AI takes jobs, ppl struggle to find direction, self knowledge and purpose. So they seek a life coach that helps unpack all that stuff but also offers how to maximise em w the curation service.",Life is a box of my favorite chocolates,,,
6243ce06d643a16d08652fe6,Mads,Travel,Product Designer,"travel,design",Arts / Design / Creative,Design interfaces and experiences,Technological,Environmental,Economic,"Technological,Environmental,Economic",The rise of virtual and digital worlds,Global warming,NA,"blurring of physical and virtual worlds,global warming",Transformation,"The person is seated at the desk, but his/her eyes are not focused on what is in front of her. She has a chip on the side of her head, which is currently activated to 'transport' her mind to somewhere in the Arctic / Greenland. She's just seeing what her colleague is streaming from that location, as her team is tasked to solve the issue of global warming and probable extinction of Chionophiles.",Ecosystems Designer,The neglect of the environment due to seemingly slow and invisible consequences that were not immediately obvious to the human eye. 80 years later humans are finally taking this issue seriously and treating it as one of the most important problems to solve in the world.,Hanging on a precipice,,LinkedIN,Reflections yes
624534a470373b1cf7425158,Melisa,Government,Senior Experience Designer,"public service,design",Public Service,Design digital services and innovation work,Economic,Technological,Environmental,"Economic,Technological,Environmental",Fintech; Crypto; new methods of manufacture and production,Tech will fuel transformation is all aspects. And affect the other 4 STEEPs,Switch to green and renewable resources,"fintech,cryptocurrency,new forms of manufacturing,increased sustainability,renewable energy",Transformation,She is testing how a service robot is responding to verbal instructions and interactions with users.,AI service designer,"Rise of artificial intelligence technology and applied in a stable way to many services, need to navigate complex backend interconnected tech systems, but presented neatly and simply for people to interact with.",Heading towards irobot,,LinkedIn and colleagues' recommendation,Reflections yes
620f1ca9eb8749722c63dfd9,Zilin,IT,Web designer,IT,Computing / ICT,I design websites and web-based applications.,Environmental,Technological,Social,"Environmental,Technological,Social",Climate change and how people shift in their habits to help or think they help.,"Quantum computing, research and discovery in genes and DNA, smartphones, and supercars etc.","People wanting to go green, LGBTQ, feminism and a lot more as well!","climate change,quantum computing,advance in gene research,smartphones,supercars,increased sustainability,increased inclusion",Transformation,This person is floating around the entire space and tapping on some devices/screens all over. Easily multi-tasking.,Interactions Designer,"Multi-tasking is ezpz as it occurs everywhere and people practise that and are super good at it. It is made easier with technology advancements. People float because they are in an artificial space that supplies a carefully-balanced air and other things that you breathe in to stay alive and be healthy (No need to pop pills, just breathe).

Interactions Designer exists together as technology advances. Humans will never not interact. Interactions Designer now have more scope and playing field in all aspects of life.",Life in a super computer,Can i redo this with a different disposition?,,Reflections yes
621f50a5e3bb7a50bc6bb0d2,Jacqui,"Education, Mental & Emotional Wellness",Grief Coach,education,Education / Development,I assist people to process their losses in life and recover from grief.,Social,Economic,Political,"Social,Economic,Political","People living harmoniously and social systems narrowing the gaps between the wealth, educated n the poor n needy..","National policies on minimum wages, job skills upgrading and housing program for home ownership.","Governments that will stamp out corruption, nepotism and greed. Justice to be meted to all citizens with freedom to express public opinions for national and global trade n commerce for sustainability.","increased harmony,tightening income gap,corruption,free speech,increased sustainability",Transformation,"Social education consultant, listening to people seeking help n connecting them to resource centres.",Social Consultant,The poorer people who are less educated may still not know where to go to seek help. Or they are unable to access resource centres as all automated systems. They don't possess the skills nor smart devices,Never ending race,,Common Ground,Reflections yes
621df4b21b58867b234d14c1,ASHI,Education,Educator,education,Education / Development,Teach,Social,Technological,Political,"Social,Technological,Political",People power,Virtual reality in everyday,Systems upheaval,"distribution of power to people,virtual reality",Transformation,Influencing change,Futurist,Think beyond present,A world beyond imagination,The experiment,FB,
62206cf919e6833fd2379e60,Remi,Social service,Volunteer manager,social service,Social Service,"Bringing people to do good together, better",Social,Technological,Economic,"Social,Technological,Economic",A growing diversity of views in and across different age groups,"The possibility of the metaverse, VR, AI, Blockchain","There have been more opportunities for the working class to push back on traditional economic structures, especially during covid. More folks are demanding for better working conditions, flexible work schedules,etc. there’s also the rise of the gig economy","diversity,metaverse,virtual reality,artificial intelligence,blockchain,gig economy,flexible work,space travel,alternative economic systems",Transformation,Hired by multiple tech companies to build and retain their community of users. Likely mode of engagement is through VR/AR/metaverse platforms,VM for hire,"People, organisations, and communities are fragmented/dispersed because of the increasing amounts of time that the world is spending on tech platforms, and this job exists to re-connect them",Magnet,,"Through a friend. Thanks for creating this, it was fun!",
621f7f7aace97530c124afbe,Faith,Medical,Student,"healthcare,student",Healthcare,Learning to be a doctor,Environmental,Technological,Social,"Environmental,Technological,Social","Depleting resources, frequent natural disasters, climate change","Working together on virtual platforms, online shopping, video calls, payment using a watch or phone",Shrinking younger generation. Lesser face to face contact.,"depleting resources,climate change,natural disasters,virtual reality,new ways of collaboration,ageing population,decreased birthrate,decreased physical interaction",Transformation,"This person is working in a holographic space. All communications are in a virtual space. No speech or movement is required, because the machine can read her mind.",Integrator,"All knowledge can be uploaded to the our artificially enhanced brains within milliseconds, therefore there is no need for studying. Integrator will be the job of integrating information from the vast databases.",Living in a world of mirrors and smoke,,Facebook,Reflections yes
620d0541c1d07627395162d5,Melina,Banking,Project Manager,banking,Finance,Manage various projects and work streams in the digital sales & acquisition department,Technological,Environmental,Social,"Technological,Environmental,Social","Medical tech,
virtual reality, NFTs, digitalisation of the workplace",Climate change,"Mental health awareness, conversations on social equality, normalisation of ‘alternative’ lifestyles","Medtech,virtual reality,NFTs,digitalisation,remote work,climate change,increased mental health,alternative lifestyles",Transformation,She is using a more advanced form of tech software to help efficiently manage timelines across various work streams and virtually communicate with colleagues,Director of Work,Offices no longer exist. People work digitally from wherever. Facetime is no longer a mandatory requirement.,Circles,,,Reflections yes
621e284db165110a797a98f4,Gelasius,Design,Game designer,design,Arts / Design / Creative,I design and publish board games,Technological,Political,Economic,"Technological,Political,Economic","Affordable space travel, blockchain, renewable energy","Transnational alliances and alignments, regional coalescence of nations and peoples, greater participation in democratic processes","AI induced redundancies, automation that reduces the need for mass labour, emergence of practical alternatives to capitalism/communism","space travel,blockchain,renewable energy,transnational alliances,increased democracy,artificial intelligence,automation,alternative economic systems",Transformation,Work is fun and engaging,Leisure crafter,"Mundane labour intensive work and bullshit jobs are redundant. People are universally given a living allowance on the basis of their age and needs, which liberates them to engage in whatever meaningful activities that inspire and motivate them. They can choose to immerse themselves in their chosen vocation or to spend their time in leisure. The demand for meaningful and engaging leisure activities peaks. The corresponding demand for leisure crafters similarly peaks; their vocation is to design meaningful and engaging activities for leisure.",Life is an rpg,,Debra lam,Reflections yes
621dca46ab4080579f291484,Glad,Supply Chain & Logistics,UIUX Designer,"logistics,design",Logistics / Manufacturing,I collaborate with teams to work on improving experiences for users.,Social,Economic,Technological,"Social,Economic,Technological","Ageing population, elderly care, social interaction and shifts in how the community demographic looks and feels like to be a part of.","Rapid changes, big challenges that are increasingly complex.","Rapid changes, innovation, and new adaptations to how we do things.","ageing population,changing demographics,increased complexity,innovation,generational differences",Transformation,"There could be flexible arrangements for how I'm being taken care of, because I'm old now. Instead of staying in isolated homes, I feel alive with a high standards of healthcare and autonomy. Technology is assisting me in my work so that I don't have to do manual calculations. I enjoy collaborating and sharing ideas, which could be executed by robots.",Freelance Strategist,"Shifts in the way work is structured, and destructuring. More algorithms are coming in to replace tedious tasks.",Complexity is normal.,,DesignSG Telegram Chat :),
621f14b694a00119fe00330f,Ele,Sustainability,Project Consultant,sustainability,Environment,Consulting for ev vehicle supply chain,Environmental,Technological,Social,"Environmental,Technological,Social","Climate Change, CO2 emission, ice caps melting","Digitalisation, metaverse",Divide between the have and have-nots growing. Increasing financialisation,"climate change,melting polar ice caps,global warming,CO2 emissions,digitalisation,metaverse,widening income gap,increased financilisation",Transformation,Climate Change Solutions,Transformation Consultant,The changes in environment and urgency of every organisation to deal with this change,Groundhog Day,,iG,Reflections yes
6229f65b63cf0435c652db6b,Jace,Telecommunication,Product Designer,"telecommunication,design",Arts / Design / Creative,"I use my design skills to solve problems for businesses,",Technological,Environmental,Economic,"Technological,Environmental,Economic","Increasing reliance on technology, digital products and cloud space",Depleting natural resources due to exploitation for human desires,Volatile financial market with weird concepts evolving,"increased adoption and reliance on new technology,depleting resources,volatile markets",Transformation,Someone who is aware of the social situation of the world,Designer,We need to solve problems,World is our playground,,Too much words to explain the instructions and next steps. Got losted halfway through,
622011a1e394e162c948e264,Shiao,"Personal, Organisation and systems development",Executive Director,coaching,Education / Development,"I do cultural change strategy: coaching, training, consulting, intervention designing",Social,Technological,Environmental,"Social,Technological,Environmental","Ageing, ideological entrenchment and division, diversity by default vs choice","More deceptive, undetectable tech used for propaganda purposes, blurring boundaries of perception of others. Information tech that braids real life with virtual life too intimately, playing w boundaries of our perception of self. Escapist tech that allows people to deflect reality vs come to terms w it.","Climate change. Rising waterline. Rising temperature. Pollution gone wild. The ever growing landfill islands of rubbish problem. Diminishing clean water, really nutritious food and energy resources","ageing population,polarised views,diversity,increased propaganda,blurring of physical and virtual worlds,climate change,rising sea levels,rising temperature,pollution,increased waste,access to clean water,decreased energy sources,food security,loss of biodiversity,entrenched worldviews",Transformation,He’s starting up his devices to read the news of the day - every article is being processed through powerful filters that immediately let him know what’s true and what’s false. Grey area articles - he does a quick scan that lets him track in quick time where the data is sourced from and whose behind it.,Reality Management strategist?,It’s a real pain point what is true and what is false. It leads to crippling bad decision making and corporates and institutions are willing to pay top consultants to stage reality interventions. Kinda like the movie Inception but not dreams.,Prisms of Propaganda,,Common ground group :D,Reflections yes
6221b29c1f869e145e05bcff,Marimer,Consulting,Founder,consultancy,Management / Consulting,Strategic consultancy owner,Political,Environmental,Technological,"Political,Environmental,Technological",Lack of trust in political parties,Climate change,AI,"climate change,artificial intelligence",Transformation,Developing narratives to keep calm people anxiety,Calm consultant,Peaks of anxiety,Every little thing is gonna be alright,,LinkedIn,
621e0f3d2f5edc45f8252eba,Suf,Design in Tech,Senior Product Designer,design,Arts / Design / Creative,Make financial tools easy for people to use,Environmental,Political,Social,"Environmental,Political,Social","Global warming, pollution, sea levels rising","Decentralisation, political polarisation","Urbanisation, liberalisation","global warming,pollution,rising sea levels,decentralisation,polarised views,urbanisation,liberalisation",Transformation,Designing tools to allow anyone access to green energy,Human - Energy Integrator,"Due to accelerated environmental collapse, humanity has realised the importance green energy and sustainability",A bud growing in a burnt forest,,Designsg chat,
621e272266d23227e043cd9d,Jack,Education,Slave,education,Education / Development,I work for my capitalist overlords,Technological,Environmental,Political,"Technological,Environmental,Political",Blockchain technology,New sources of resources,Decentralised Autonomous Organizations,"blockchain,new sources of resources,DAOs",Transformation,He's letting his blood get siphoned for daily blood letting activity,Ironmonger,"We ran out of iron, and need humans to donate blood for iron harvesting","Water is water, blood is blood",,DesignSG Telegram group,
621e0c211b58867b234d1651,Siying,Design,UX Consultant,design,Arts / Design / Creative,provide user centered design solutions to clients,Environmental,Technological,Social,"Environmental,Technological,Social",climate change,blockchain technology,polarized views,"climate change,blockchain,polarised views",Transformation,observing people through latest technology,human expert,changes in technology and social needs,change is the only constant,,really cool concept!!!,Reflections yes
621f90b537900d62331e86f5,Stephanie,Electronics manufacturing,Senior communications manager,manufacturing,Logistics / Manufacturing,Make the company look good and get people to participate in our initiatives,Social,Technological,Political,"Social,Technological,Political","More awareness of social justice, more polarised views","IoT, AI, availability of data","Political ideologies, more populist leaders, ukraine situation","polarised views,increased social justice,iot,artificial intelligence,big data,political ideologies,populist leaders,war",Transformation,Calling people,Senior communications manager,Companies will still exist and they will still need to communicate to employees and the public,"A frenzy, a flurry of information, a mosaic with pieces flying around",,Linkedin,
621e0091dd1dc1303704fec2,Yan Bing,Public Service,Senior Manager/Innovation Unit,"public service,innovation",Public Service,Drive transformation and innovation in the organization,Economic,Technological,Social,"Economic,Technological,Social",Global talent crunch,Cheap tech,Shrinking labor force,global talent crunch,Transformation,Pushing the next wave of transformation in society,Transformer,"We are again at the limits of tech, knowledge. People no longer want to spend long hours at work, and we continue to search for tech and innovative solutions to replace the lost labor",Life on the edge,,Facebook!,
62280f8d4ea80d52d244ac9c,JT,Marketplace,Product Designer,"e-commerce,design",Arts / Design / Creative,I help business teams to understand their target users and build products that meets the business goals and user needs,Environmental,Political,Technological,"Environmental,Political,Technological","Climate Emergency / collapse, and it feels like we're not moving fast enough to prevent it from collapsing?","Russia/Ukriane > fight over resources > basic oil, gas, food prices will go up

Not sure how that will pan out, but as a citizen I'm not sure how to help either",Generally technological advances that can also enable us to change they way we communicate,"climate change,war,depleting resources,communication technology",Transformation,"Wow so cool

This person is currently sitting comfortably in their workspace. It's quiet, and daylight streams in through the floor to ceiling windows. They're situated somewhere in the mountains, in a sustainably built bungalow. When you look out, you see the view.

Maybe the view sucks, cause the world didnt manage to figure out how to stop climate change/collapse.

Or maybe the view is amazing, cause we somehow managed to reverse the environmental damage.

Remote work is possible. This person can move to another place on earth easily, and their organisation/team is flexible with that

Anyway.

The person is working in their multi screen workspace (ah, digital real estate)

They're working with an environmentally conscious company, that's either global, or that is able to easily work with other companies in other parts of the world. The organisation aims to study and come up with solutions that helps to maintain or reverse environmental damage, using tech to easily communicate with the other companies in other parts of the world (e.g. understand what's going on in Borneo/Amazon rainforest/ Antartica). This person's role is a smaller cog in this machine, but basically helps to build a product that's easy and efficient for other humans to use.

Perhaps other citizens are able to participate in this organisation's effort as well, through the use of this product.","Product Builder? HAHA

Do we need titles?","We're still fighting climate change, or maintaining the ecosystem","Wow uh

Hope is a beacon of light",,"Pretty cool experiment, guys!!

Would love to read the responses from other people, if possible

Loved the storytelling and how the survey was built. I think it really transported me forward to 2100, and to imagine how that might be. And I didnt feel pressured to come up with something like VISIONARY you know? It was fun.

I think the only part was the first part, when I was asked about my current job title. Because of how futurist this survey sounded, I almost typed in a futuristic sounding job title hahaha",
621e1b1d1b58867b234d1715,Yeng,Personal Development,Coach,coaching,Education / Development,I listen to people and talk to people,Social,Technological,Environmental,"Social,Technological,Environmental",Polarised Views,Artificial Intelligence,Food and Water Safety,"polarised views,artificial intelligence,food security,access to clean water",Transformation,Still the same thing but different environment,Coach,Cos of polarised views and artificial intelligence,People living in silos,,Instagram!,Reflections yes
621e24c84bfec76537476dc5,Yi,Design,Tech,design,Arts / Design / Creative,3D Printing,Environmental,Political,Social,"Environmental,Political,Social","Sea water contamination and air pollution caused by man-made disaster. Restoration of mother earth to original state requires human to lead a discipline, minimal waste lifestyle.",Human exploiting benefits and gains at the expense of others. Massive operations carried out to eliminate the ever increasing world population. Human will have to adapt and learn to co-exist with the limited and depleting natural resources.,"Selfishness, lack of empathy and love cause distrust even amongst the closest loved ones. Humans will have to relearn the meaning of family and friend.","sea water contamination,pollution,man-made disasters,overpopulation,depleting resources,selfishness,increased social distrust",Discipline,"At home, managing work at the comfort of his bed by the simplest of control using mind/brain waves. 99% automation with 1% human intervention.",Enabler,Society is on the verge of breakdown with near to 0 physical interaction as most tasks can be accomplished with technology. Human just need Enabler to ensure script runs normally in the world of Year 2100.,Human are chess pawn,,Telegram. DesignSG group.,
621e32c7566e066e9b4bde61,Zining,Education,Teaching Assistant,education,Education / Development,Inspire a younger generation to learn,Political,Economic,Technological,"Political,Economic,Technological",The current issues about Ukraine and how the world is reacting to it,"Mainly because of COVID-19, there’s something changing, something new emerging every other day","Im not very sure about this but it’s closely tied to economic changes, and the rise of NFTs","war,pandemic,NFTs",Discipline,"The person is following some (new) regulations at work, perhaps something foreign to me but familiar to them",Digital Educator …?,"I would like to change the title to Nomad Educator. Sounds cooler...!

The society is seemingly still normal. But there’s resentment over poor political leadership and general apathy. People are tired of following rules imposed on them and are creating their own rules. Students attend classes that matter most to them, outside of school.",Information is power,,From DesignSG tele group! And also because my fellow colleagues and I had attended Studio Dojo’s amazing facilitation workshops 👋🏽,Reflections yes
62455a930fa4945b495b54a4,Francis,Health and sport,Company director,health and sport,Healthcare,making product to address users' needs,Social,Environmental,Technological,"Social,Environmental,Technological","aging society, more singles, population grow in under-developed countries but dropping in developed countires.","Energy consumption over the last 100 years was more than the entire human history before that. This is simply not sustainable for mankind. A new, more sustainable way of living will be the result, by design or by crisis.","communication and information technology, big data, data mining, AI and better understanding of the nature will allow more integrated and sustainable solution to be discovered and developed.","ageing population,decreased birthrate,shifting global powers,increased sustainability,sustainable energy,communication technology,information technology,big data,data mining,artificial intelligence",Discipline,"As normal, he is enjoying his morning cycling and on his way to breakfast. Suddenly the sky is getting dark and it starts raining heavily.",Problem and solution identifier,"human being still has a body, the earth continue to rotate, and the weather changes accordingly. Human needs are largely the same but resources are getting more constrain. Better and more sustainable solutions are needed.","Life is like riding a bicycle.
To keep your balance, you have to keep moving.",Interesting way of collecting feedback. well done!,Via Khai Seng's Linkedin,
6243de484ac6503df90d0654,Edric,Environment Services,Student,"sustainability,student",Environment,Learn about environmental problems and help to formulate holistic solutions,Environmental,Economic,Political,"Environmental,Economic,Political",Adverse effects of climate change will eventually force us to understand that we have to live sustainability and in harmony with the environment,"Our current economy works mostly on the basis of capitalism and exploitation. As environment changes starts to greatly influence our worldview, we wi understand that the economic system of capitalism is severely flawed and will actively seek to abolish it","With the abloishment of capitalism, our policies and political figures will be less influenced by the rich. Power will be more even distributed to the people and no matter what political ideology a society adopts, the focus will be on equality, equity, and harmony","climate change,increased sustainability,distribution of power to people,increased equality,increased equity,increased harmony,alternative economic systems",Discipline,This person is looking through cases and preparing for big meetings between different stakeholders that aims to maintain harmony. The principles of equity and equality are being applied to the meeting and will form the structure of the outcomes of the meeting,Stakeholder coordinator and key facilitator,"Society has finally accepted that they need to consider the perspective and expetise of others, and go into engagement with the mindset that everyone is of equal standing, and that everyone here will benefit by working with each other, rather than inequality in benefits. To reach truly holistic solutions that are formulated on the basis of equality and equity however, there is a need for facilitators to help coordinate such meetings and usher the complex group of unique individuals into a common goal",Holism,,Li Seng share this with the Green Nudge team ✌🏻,
62259d6befe6c84f492d2ff1,mc,transport,designer,"transport,design",Logistics / Manufacturing,i make digital interfaces easy to understand and use,Environmental,Political,Economic,"Environmental,Political,Economic",Climate change and environmental disasters,"Nationalisation, anti-foreigner sentiments",Growing economic gap between middle and upper class,"climate change,natural disasters,nationalism,widening income gap",Discipline,"They work in solitude, surrounded by various small devices",Designer,Humans cannot live without devices. Lack of resources dictate that energy consumption is as low as possible. Designers have to come up with new ways to optimise sustainable device and energy usage,double standards,,friends of figma sg,Reflections yes
621e4055ab4080579f291b7b,Mae,Technology,System Architect,"tech,design",Arts / Design / Creative,I design system architecture for software solutions,Social,Environmental,Technological,"Social,Environmental,Technological",Polarized views,"Global warming, climate change, depleting resources","AI, VR, ML,","polarised views,global warming,climate change,depleting resources,artificial intelligence,virtual reality,machine learning",Discipline,Projected screens and AI technology assisting them in coming up with an architecture,Wander Vision,Advanced technology and more skilled workers,Endless possibilities,,Through a friend,
6230714ae42f516426244eb5,Deborah,Design function in the F&B industry,Creative Lead,design,Arts / Design / Creative,"Managing everything from branding, brand experience, art direction, marketing to collaborations in a chocolate shop",Social,Technological,Environmental,"Social,Technological,Environmental","Work-from-home culture, empowerment in the workplace, inclusivity","Machine learning, 3D printing, bots like yourself🤓","Climate change, loss of wildlife & biodiversity, emphasis on sustainable food/material sourcing","remote work,inclusivity,artificial intelligence,3d printing,robots,climate change,loss of biodiversity,increased sustainability,sustainable food",Discipline,"This person is working on a creative research project. For inspiration, he is working out of a little remote cabin located somewhere in a protected part of the woods. He remains connected to other people and the rest of world with the help of technology",Gastronomy Researcher,"Sources of food and fresh produce have become very limited due to the change in climate, naturally reducing the number of tastes/flavours/smells that exists. On top of being a form of sustenance, food is still a huge vehicle for reflecting culture and transcending emotions. As such, there is a need to research ways to preserve or elevate flavour and taste experiences",Life is like a box of chocolates,,A boy with a bike shared this experiment with me. It's brilliant and really well set up! I hope the data collected will be instrumental and inspirational for his work☺️,Reflections yes
621ec66dca87e20dfe16e4ed,D,Government,Lawyer,public service,Public Service,"Advise government clients on legal options, limits and approaches to accomplishing organization goals.",Social,Environmental,Political,"Social,Environmental,Political",Nationalism,climate change,"conflict, historical grievances, land claims","nationalism,climate change,war",Discipline,managing / supervising automated (AI) legal advice,Legal Supervisor,"The law is becoming increasing complex such that no one person can know and analyze all of the law. There remains a requirement, ethically and legally, to ensure that the advice relates to facts and interpersonal dimensions.",Put up or shut up (much work to be done and we need to get on with it),,World Futures Course with John Sweeney,
6216755550eb760add69cf6e,Josh,Finance,Risk manager,finance,Finance,I build systems and tools to improve decision quality for questions of how to prevent loss.,Environmental,Political,Economic,"Environmental,Political,Economic",Depleting resources,Political ideologies,Global talent crunch,"depleting resources,political ideologies,global talent crunch",Discipline,They are standing at a wide view projected interface observing data and measurements as they are flowing in real time,Future risk forward engineer,The world is attempting to pre-engineer risks in order to avoid them,Under orange skies,,Damien Teo's presentation in John Sweeney's class,John student
621e21d1ba31130e5a2b1c13,Debra,Community and Social Services,"Lead, Community Development",social service,Social Service,I develop communities so they can better address whatever social issues they are tackling,Technological,Environmental,Social,"Technological,Environmental,Social","Metaverse, artificial intelligence, cryptocurrency","Climate change, rising sea levels, forests burning, loss of marine biodiversity","Polarised viewpoints, trend of decrease in trust between citizens and governments","metaverse,artificial intelligence,cryptocurrency,climate change,rising sea levels,deforestation,loss of biodiversity,polarised views,decreased trust in governments",Discipline,"Racing against time, overwhelmed and overloaded, doing a lot of repair work on parts of society that has fragmented",Community crisis manager,"More people are in dire need due to income inequality and access to opportunities, demand for higher standards of living and care, more fragmentation of communities due to differing opinions and perspectives",Oil and water,,Studio Dojo’s Facebook post,Reflections yes
6220b545c74b0f467231cd50,Cs,Tech,Designer,"tech,design",Arts / Design / Creative,I make information on the web easy to use and understand,Environmental,Political,Technological,"Environmental,Political,Technological",All the signs of runaway climate crisis,Nation states and communities are bad at collective action and collective flourishing,Tech adapts...,"climate change,decreased collaboration",Discipline,Trying to make info about the environment more user friendly for the public and researchers,Information architect,Exponential increase in information... idk,Sunlight is sunlight,,,
